20,Mineral Katkı Kat. (k),,0,ç/s Oranı (Bağlayıcı),,,,,,,,,,,2.689655172413793,,,,,
21,Toplam Hava Mik. (%),,5,,,,,,,,,,,,,,,,,
22,Dmax (mm),,25,Toplam Agrega Hacmi (L),,,,,,,,,,,679.1935483870968,,,,,
23,Kimyasal Kat.  (%) ,POLİSAN P 867 Akışkanlaştırıcı,0.9,,,,,,,,,,,,,,,,,
24,Kimyasal Kat. 2 (%) ,POLİSAN Air Hava Sürükleyici,0.11,Toplam Agrega Hacmi (KG),,,,,,,,,,,1871.4499032258068,,,,,
25,Kim.Kat 1'deki Ser. Su Oranı,,,,,,,,,,,,,,,,,,,
26,Kim.Kat 1'deki Ser. Su Oranı,,,Çimento/Agrega Oranı  (%),,,,,,,,,,,20.83945711438812,,,,,
27,İÇERİK MALZEME MİKTARLARI,,,,,,,,,,,,,,,,,,,
28,Malzemeler,Hacim                           (dm³),"Özgül Ağırlık 
(ssd)",8(Sulak),,,,,,,,,,,,,,,,
29,Çimento,125.80645161290322,3.1,390,,,,,,,,,,,,,,,,
30,Mineral Katkı ,0,2.04,0,,,,,,,,,,,,,,,,
31,Su,145,1,145,,,,,,,,,,,,,,,,
32,Toplam Hava Miktarı,50,1.225,40.816326530612244,,,,,,,,,,,,,,,,
33,15-25 mm Bazalt Agrega (Özen),230.9258064516129,2.81,648.9015161290323,,,,,,,,,,,,,,,,
34,5-15 mm Bazalt Agrega(Özen),135.83870967741936,2.78,377.6316129032258,,,,,,,,,,,,,,,,
35,0-5 mm Bazalt Agrega Yıkanmamış(Özen),176.5903225806452,2.7,476.79387096774207,,,,,,,,,,,,,,,,
36,0-5 mm Bazalt Agrega Yıkanmış(Sulak),135.83870967741936,2.71,368.12290322580645,,,,,,,,,,,,,,,,
37,Kimyasal Katkı 1  ,3,1.17,3.51,,,,,,,,,,,,,,,,
38,Kimyasal Katkı 2 ,0.4125,1.04,0.429,,,,,,,,,,,,,,,,
39,Karışım Hacmi (dm³),1000.0000000000001,"Teorik
Birim Ağırlık (kg/m³)",2451.2052297564187,,,,,,,,,,,,,,,,
40,Deneme Karışım Miktarları (dm³),25,LABORATUVAR DENEMESİNDEKİ MALZEME MİKTARLARI,,,,,,,,,,,,,"Düzeltilmiş Değerler
(kg)",,,,
41, Malzemeler,"Miktar
 1 m³ (kg)",,Miktar,,,"Agrega Su Muhtevası
(%)",,,"Su Emme Kapasitesi
(%)",,,"Düzeltme değerleri
(kg)",,,,,,,
42,,,,25,,,,,,,,,,,,,,,,
43,,,,dm³,,,,,,,,,,,,,,,,
44,Çimento,390,,9.75,,,,,,,,,,,,9.75,,,,
45,Mineral Katkı ,0,,0,,,,,,,,,,,,0,,,,
46,Su,145,,3.625,,,,,,,,,-0.38117700322580816,,,4.006177003225808,4.006177003225808,,,
47,15-25 mm Bazalt Agrega (Özen),648.9015161290323,,16.222537903225806,,,0.9,,,1.7,,,-0.7999999999999999,,,16.0927576,,,,
48,5-15 mm Bazalt Agrega(Özen),377.6316129032258,,9.440790322580646,,,0.8,,,2.1,,,-1.3,,,9.318060048387098,,,,
49,0-5 mm Bazalt Agrega Yıkanmamış(Özen),476.79387096774207,,11.919846774193552,,,3,,,3.4,,,-0.3999999999999999,,,11.872167387096777,,,,
50,0-5 mm Bazalt Agrega Yıkanmış(Sulak),368.12290322580645,,9.203072580645161,,,2,,,2.88,,,-0.8799999999999999,,,9.122085541935483,,,,
51,Kimyasal Katkı 1 ,3.51,,0.08775,,,,,,,,,,,,0.08775,,,,
52,Kimyasal Katkı 2 ,0.429,,0.010725,,,,,,,,,,,,0.010725,,,,
53,,2451.2052297564187,,101.07604911125742,,,,,,,,,,,,101.0760491112574,,,,
54, TAZE BETON TEST SONUÇLARI,,,Çökme (cm),,,,Çökme 30 Dak (cm),,Çökme  60 Dak (cm),,Toplam Hava Miktarı (%),,,Birim Ağırlık (kg/m³),,,,,
55,,,,,,,,,,,,,,,,,,,,
56,"Deney sonuçları, sadece deneye tabi tutulan numuneler için geçerlidir.

Laboratuarlarımız tarafından numune alma işlemi gerçekleştirilmediğinden,  deneye tabi tutulan numunelerin temsil özelliğinden laboratuarlarımız sorumlu değildir.",,,,,,,,,,,"Bu rapor, laboratuvarın yazılı izni olmadan kısmen kopyalanıp çoğaltılamaz. 
İmzasız ve mühürsüz raporlar geçersizdir.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
İrtibat Bilgileri: 
Ar-Ge Baş.Müh Tel           : 0412 228 80 50 (2200)
Beton Lab. Sorumlu Müh   : 0412 228 80 50 (2202)",,,,,,,,
57,,,,,,,,,,,,,,,,,,,,
58,,,,"Araştıma ve Geliştirme Başmühendisliğimiz
 TS EN ISO9001:2008 standardına uygun olarak belgelendirilmiştir",,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,,
60,,,,B09.ARŞ.KP.01.FR-03 Rev.00,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,,
